,uk_house_price_idx,uk_cpi,uk_unemployment,uk_consumer_confidence,uk_real_gdp,uk_gdp_yoy_growth,uk_bond_yield_10y,uk_reer,uk_oil_price,uk_credit,uk_credit_qoq_growth,uk_credit_yoy_growth,uk_industrial_production,uk_ftse_close,uk_ftse_qoq_growth
2013-09-30,88.1575743762613,2.4,7.6,101.7547,588076.0,1.5585846497113476,2.8443,105.27,107.85,7506.471,5.644014395169661,0.3316376755476247,100.7,6462.2001953125,3.9691126266993892
2013-12-31,89.6497810825535,1.9,7.2,102.0991,591954.0,2.3761057738038716,2.9458,107.84,109.95,7675.457,2.251204327572842,2.56386375091735,101.1,6749.10009765625,4.43966286516253
2014-03-31,91.3773798151551,1.6,6.7,102.3572,596696.0,2.923161575095423,2.7837,108.89,105.95,7760.796,1.1118425912620022,10.292268693865614,101.3,6598.39990234375,-2.2328931728962442
2014-06-30,93.0724960567095,1.6,6.3,102.2412,602310.0,3.2050787775978584,2.7842,111.65,111.03,7998.243,3.0595701781106044,12.565078667201291,101.3,6743.89990234375,2.2050800520338143
2014-09-30,94.9840442308503,1.5,6.0,101.7814,607213.0,3.2541712295689695,2.4919,111.28,94.67,7706.44,-3.648338766401582,2.6639548730688523,101.8,6622.7001953125,-1.797175355303371
2014-12-31,96.6752857791238,1.1,5.7,101.4084,611220.0,3.2546447865881456,1.9287,111.26,55.27,7651.882,-0.7079533481088585,-0.3071478349758294,102.0,6566.10009765625,-0.8546377759378387
2015-03-31,97.9174583132057,0.4,5.5,101.3507,613076.0,2.7451164412028994,1.7941,113.98,53.69,7361.635,-3.793145268053,-5.143299733687112,102.7,6773.0,3.151031803758242
2015-06-30,98.7397733790562,0.3,5.6,101.2218,615875.0,2.2521625076787677,2.1696,116.12,60.31,7728.04,4.977223130459474,-3.3782794546252326,103.0,6521.0,-3.720655544072049
2015-09-30,100.625200873307,0.4,5.3,100.7701,618263.0,1.819789760759405,1.8814,116.4,47.29,7543.601,-2.3866206696652736,-2.1130249505608267,103.4,6061.60009765625,-7.044930261367122
2015-12-31,102.717567434431,0.4,5.1,100.2629,621968.0,1.7584503124897788,1.9234,116.17,36.61,7398.609,-1.922052876338498,-3.3099438804727987,101.6,6242.2998046875,2.98105622476017
2016-03-31,104.876111803658,0.7,5.1,99.89848,625099.0,1.961094546190023,1.5434,108.27,36.75,7318.811,-1.0785540903702429,-0.5817185991970564,102.6,6174.89990234375,-1.0797286969962183
2016-06-30,105.715625309615,0.7,4.9,99.8875,629697.0,2.2442865841282744,1.3105,107.12,48.05,7179.812,-1.8992019332101817,-7.094010900564696,104.4,6504.2998046875,5.334497846980857
2016-09-30,105.748262919553,1.0,4.8,100.397,632477.0,2.2990216137792396,0.8243,99.49,48.24,7134.076,-0.6370083227805967,-5.428773340477577,103.9,6899.2998046875,6.0729057986431245
2016-12-31,106.309599841883,1.5,4.7,100.9241,636392.0,2.3190903712088096,1.4336,99.62,54.96,6770.606,-5.094843396678139,-8.488122564660472,106.0,7142.7998046875,3.5293436565049907
2017-03-31,107.421727066954,2.2,4.6,101.139,642463.0,2.7777999964805566,1.194,97.22,52.2,6945.291,2.5800497030841862,-5.103561220531583,105.7,7322.89990234375,2.5214216075054807
2017-06-30,108.090732150065,2.6,4.4,101.1477,647944.0,2.897742882688026,1.0846,97.96,47.08,7186.091,3.46709734696502,0.0874535433518453,,7312.7001953125,-0.1392850806001822
2017-09-30,109.053448981771,2.7,4.3,101.0123,652329.0,3.138770263582713,1.2436,98.29,57.02,7460.904,3.824234900448653,4.581223973504067,,7372.7998046875,0.8218525000317056
2017-12-31,109.573343642976,2.8,4.4,100.5651,657225.0,3.2736112333278777,1.2781,100.06,66.73,7712.775,3.3758777756689895,13.915578605519219,,7687.7998046875,4.272461050681575
2018-03-31,109.637498251214,2.5,4.2,100.1812,657741.0,2.3780357779358496,1.508,100.51,69.02,7935.361,2.885939237174684,14.25527022553843,,7056.60009765625,-8.210407698785115
2018-06-30,110.205205947492,2.2,4.0,99.85817,659172.0,1.7328658032175648,1.4229,99.84,77.44,7480.467,-5.732492825468183,4.0964691373933215,,7636.89990234375,8.223504189790187
2018-09-30,109.701881588985,2.3,4.1,99.02085,661262.0,1.369401023103367,1.5023,100.09,82.72,7374.9,-1.4112354215318423,-1.1527289454468348,,7510.2001953125,-1.6590463231338948
2018-12-31,109.725611649016,2.1,4.0,98.03709,662120.0,0.7447982045722501,1.3125,98.85,50.57,7315.243,-0.8089194429754865,-5.154201957142524,,6728.10009765625,-10.413838210922776
2019-03-31,109.902498717331,1.8,3.8,97.74769,665456.0,1.1729540959131368,1.19,101.92,67.93,7517.855,2.769723439125671,-5.2613359367015615,,7279.2001953125,8.191021085554695
2019-06-30,109.583253732857,2.0,3.9,97.82614,666875.0,1.1685872579539236,0.919,98.63,67.52,7431.8,-1.1446749105961662,-0.6505877240017166,,7425.60009765625,2.0112086275360985
2019-09-30,108.919807856726,1.8,3.9,97.8383,670547.0,1.4041333087339014,0.5981,98.26,60.99,7442.045,0.13785354826556517,0.9104530230918506,,7408.2001953125,-0.23432318081930692
2019-12-31,109.071096306953,1.4,3.7,98.26056,670587.0,1.2787712197184886,0.8308,102.77,67.77,7869.727,5.746834371466436,7.579843895821359,,7542.39990234375,1.811502166425849
2020-03-31,111.012919063795,1.7,4.1,95.75038,652180.0,-1.995022961698445,0.4609,98.39,14.85,7569.422,-3.8159519383582197,0.6859270363687608,,5672.0,-24.798471661023115
2020-06-30,110.293465286353,0.8,4.1,94.91411,522356.0,-21.671077788191194,0.278,98.66,41.64,7979.639,5.419396619715489,7.371551979332058,,6169.7001953125,8.774686095072282
2020-09-30,111.405930582622,0.8,5.0,98.4239,610972.0,-8.884537549194915,0.273,99.36,40.3,8410.988,5.405620479823692,13.019848710938998,,5866.10009765625,-4.920824157499803
2020-12-31,115.450790491382,0.8,5.3,99.01115,619330.0,-7.64360179961735,0.3224,99.81,51.22,9101.53,8.209998635118755,15.652423521171709,,6460.5,10.132795084441826
2021-03-31,117.745626433479,0.9,4.9,100.6663,612665.0,-6.058910116838911,0.8456,103.41,63.52,8936.304,-1.8153651089432232,18.057944186491405,,6713.60009765625,3.917654943986526
2021-06-30,119.308339062156,2.1,4.7,102.1934,655443.0,25.478217920345504,0.8549,104.48,76.94,9234.575,3.337744553005373,15.726726484744491,,7037.5,4.824533746906146
2021-09-30,117.340382295391,2.7,4.4,102.1061,666498.0,9.088141518760274,0.8023,104.06,77.81,9019.221,-2.332040185931683,7.231409675058398,,7086.39990234375,0.6948476354351696
2021-12-31,117.644158220535,4.4,4.2,100.8321,675680.0,9.098541972777042,0.8375,104.89,77.24,9218.788,2.2126855523331823,1.288332840742168,,7384.5,4.206650792564726
2022-03-31,120.104977173351,5.5,3.8,98.28006,682527.0,11.402968996107177,1.5457,104.13,107.29,8684.354,-5.79722627312832,-2.819398265770734,,7515.7001953125,1.7766970724151898
2022-06-30,119.086192271839,7.9,3.8,96.22482,686335.0,4.713148206632756,2.3824,102.64,119.78,7720.524,-11.098465124751932,-16.39545945536205,,7169.2998046875,-4.609023532378897
2022-09-30,119.258605103552,8.7,3.7,95.326,687029.0,3.080429348625202,3.5007,99.29,88.9,6780.577,-12.174652912159845,-24.820813238748663,,6893.7998046875,-3.842774155153472
2022-12-31,116.902086975244,9.4,3.9,95.77062,688817.0,1.9442635567132438,3.5015,104.37,82.82,7422.336,9.464666502570495,-19.48685662366897,,7451.7001953125,8.092784914433548
2023-03-31,113.594021293183,9.0,4.0,97.08318,689206.0,0.9785693459746003,3.5638,103.11,79.19,7672.084,3.364816683049643,-11.656249848866128,,7631.7001953125,2.415556118498019
2023-06-30,111.393756180536,7.7,4.2,98.33102,689491.0,0.4598337546533493,4.3659,108.9,74.51,7753.518,1.0614325911968647,0.42735441273156205,,7531.5,-1.3129472168474932
2023-09-30,110.930057251375,6.3,4.1,99.06685,687839.0,0.11789895331928424,4.4199,108.12,95.86,7503.686,-3.2221760496332186,10.664416907292695,,7608.10009765625,1.0170629709387313
2023-12-31,109.803067284811,4.4,3.9,99.53869,685628.0,-0.46296766775500986,3.8622,108.38,77.69,8055.242,7.350467490244128,8.527045932709054,,7733.2001953125,1.64430141626013
2024-03-31,108.746588424576,3.9,4.3,100.0412,691198.0,0.2890282440953795,4.033,109.11,86.17,8022.828,-0.40239635258629836,4.571691342274153,,7952.60009765625,2.8371165468694226
2024-06-30,109.024027602966,2.9,4.2,100.7356,695280.0,0.8396048679388146,4.1644,110.25,87.26,8103.682,1.00779924485479,4.516195100082299,,8164.10009765625,2.6595075497676923
2024-09-30,109.212302516273,2.9,4.3,100.7125,696853.0,1.3104810864170258,3.9053,111.19,72.35,8719.899,7.604160676591198,16.208207539601194,,8237.0,0.8929324906817193
2024-12-31,109.077272130132,3.4,4.4,100.2876,698780.0,1.9182413787068198,4.4345,112.02,74.58,8103.779,-7.065678168978784,0.6025517296686989,,8173.0,-0.7769819108898846
2025-03-31,109.293706187059,3.6,4.5,100.3175,703373.0,1.7614344948914784,4.6448,111.83,77.23,8288.154,2.2751731013395116,3.307138081484484,,8582.7998046875,5.014068330937227
2025-06-30,107.604903016472,4.1,4.7,100.8332,704798.0,1.3689448855137565,4.5248,113.75,68.15,8916.353,7.579480304058039,10.028416712304345,,8761.0,2.0762478371588733
2025-09-30,107.626223491037,4.1,5.0,101.0667,705187.0,1.195948069391961,4.6885,111.89,68.52,8843.121,-0.8213223500684652,1.413112697750285,,9350.400390625,6.727546976657917
2025-12-31,108.057412340221,3.6,5.2,101.0844,705571.0,0.9718366295543568,4.4826,111.51,61.35,,,,,9931.400390625,6.213637659650684
